id,MovementDate,id_supplier,id_warehouse,id_product,Quantity,UnitPrice,id_movementType,PurchaseOrder
1,2026-01-01,2,2,4,70,14290,1,PO-1022
2,2026-01-20,1,1,5,33,43746,2,PO-1059
3,2026-01-25,2,3,4,131,71980,2,PO-1029
4,2026-02-02,3,1,3,87,123108,2,PO-1009
5,2026-02-14,1,2,3,27,35506,1,PO-0003
6,2026-02-16,1,3,4,160,117524,1,PO-1075
7,2026-02-28,2,1,3,40,139836,2,PO-1091
8,2026-03-03,2,3,2,169,18022,2,PO-1043
9,2026-03-06,1,1,2,130,88512,2,PO-0004
10,2026-03-11,1,3,3,78,37943,2,PO-1036
11,2026-03-12,2,1,2,124,52910,1,PO-1094
12,2026-03-15,1,2,2,134,89964,2,PO-0002
13,2026-03-19,1,1,2,199,118291,2,PO-1023
14,2026-03-21,1,2,1,192,108802,2,PO-1083
15,2026-04-01,1,2,2,148,115388,2,PO-1049
16,2026-04-13,2,2,4,119,23022,2,PO-0001
17,2026-04-17,3,1,4,185,123653,1,PO-1032
18,2026-04-26,2,1,2,61,136736,1,PO-1034
19,2026-05-23,1,2,4,175,39944,1,PO-1040
